laptop
 id: integer, pk  make: text  model: text 
 1                lenovo      thinkpad    
 2                asus        rog         

student
 id: integer, pk  name: text  laptop: integer, fk, laptop, id 
 1                John        1                               
 2                Debbie      2                               

class
 id: integer, pk      name: text     
 1                English            
 2                Maths              
 3                Spanish            
 4                Biology            
 5                Science            
 6                Programming        
 7                Law                
 8                Commerce           
 9                Physical Education 

enrollment
 studentid: integer, fk, student, id  classid: integer, fk, class, id 
 1                                    3                               
 1                                    5                               
 1                                    9                               
 2                                    1                               
 2                                    4                               
 2                                    5                               
 2                                    9                               
